alpha,auc,beta,build_seconds,converged,epsilon,experiment,friend_attacks,gamma,iterations,lambda1,lambda2,max_iterations,method,propagation_seconds,repeat,residual,runtime_beta,seed_count,x,xi,zeta
0.1,0.6592449484277911,0.04,1.4764198799966834,True,0.001,incoming_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9576308749965392,0,0.0009020994535529246,,10,8e-05,8e-05,0.27
0.1,0.6314251303000422,0.04,0.01883745499799261,True,0.001,incoming_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.012044082999636885,0,0.0008538004026851335,,10,8e-05,8e-05,0.27
0.1,0.8241192969275798,0.04,0.06665673999668797,True,0.001,incoming_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.13562730199919315,0,0.0009575192105217111,,10,0.00016,0.00016,0.27
0.1,0.6551644989122098,0.04,1.4961724200038589,True,0.001,incoming_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9595211190026021,0,0.000902397978489018,,10,0.00016,0.00016,0.27
0.1,0.6314251303000422,0.04,0.01991592100239359,True,0.001,incoming_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.013083284000458661,0,0.0008538004026851335,,10,0.00016,0.00016,0.27
0.1,0.7833794900690239,0.04,0.06385395100369351,True,0.001,incoming_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.1324332139993203,0,0.0009596923660246614,,10,0.00032,0.00032,0.27
0.1,0.6344782207196632,0.04,1.4890283770000678,True,0.001,incoming_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9187793710007099,0,0.0009021477348667487,,10,0.00032,0.00032,0.27
0.1,0.6314251303000422,0.04,0.017611055001907516,True,0.001,incoming_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.012606878000951838,0,0.0008538004026851335,,10,0.00032,0.00032,0.27
0.1,0.7054096664631951,0.04,0.06457786100509111,True,0.001,incoming_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.13438268000027165,0,0.0009573552077366846,,10,0.00064,0.00064,0.27
0.1,0.6103887088948365,0.04,1.4908653980019153,True,0.001,incoming_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.8995569449980394,0,0.0009025154207559003,,10,0.00064,0.00064,0.27
0.1,0.6314251303000422,0.04,0.019705498998519033,True,0.001,incoming_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.012043222995998804,0,0.0008538004026851335,,10,0.00064,0.00064,0.27
0.1,0.6194465887214161,0.04,0.06543888799933484,True,0.001,incoming_activity_attack,3200,0.425,28,2.0,3.0,100000,scasan,0.13550714300072286,0,0.0009624717572831471,,10,0.00128,0.00128,0.27
0.1,0.5645615501400824,0.04,1.4882992359998752,True,0.001,incoming_activity_attack,3200,0.425,15,2.0,3.0,100000,socact,0.9620818719995441,0,0.0009013264546645105,,10,0.00128,0.00128,0.27
0.1,0.6314251303000422,0.04,0.01545721699949354,True,0.001,incoming_activity_attack,3200,0.425,6,2.0,3.0,100000,friendship,0.013100588002998848,0,0.0008538004026851335,,10,0.00128,0.00128,0.27
0.01,0.8298274248329186,0.04,0.06185232900315896,True,0.001,alpha,3200,0.425,86,2.0,3.0,100000,scasan,0.4153966899975785,0,0.0009919028042391048,,10,0.01,2e-05,0.27
